__name__,container,created_by_kind,created_by_name,endpoint,host_ip,host_network,instance,job,namespace,node,pod,pod_ip,service,uid,value,priority_class
kube_pod_info,kube-state-metrics,ReplicaSet,kibana-kb-6644dcd7b6,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,elastic,controlplane-nbg1-1,kibana-kb-6644dcd7b6-v8d4m,10.244.1.113,kube-prometheus-stack-kube-state-metrics,c15452d8-7c1d-46cd-b076-ab2ec9a18d23,1,
kube_pod_info,kube-state-metrics,ReplicaSet,kube-prometheus-stack-grafana-6b47849ddb,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-grafana-6b47849ddb-d5r4r,10.244.1.104,kube-prometheus-stack-kube-state-metrics,d9e0431f-259e-475d-ac33-d76663d307a1,1,
kube_pod_info,kube-state-metrics,ReplicaSet,kube-prometheus-stack-kube-state-metrics-7dff96c957,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-kube-state-metrics-7dff96c957-ddncs,10.244.1.67,kube-prometheus-stack-kube-state-metrics,ea4d32bd-30ef-4ad6-8441-2b115e1e70fb,1,
kube_pod_info,kube-state-metrics,ReplicaSet,kube-prometheus-stack-operator-6cbc867d96,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,monitoring,controlplane-nbg1-1,kube-prometheus-stack-operator-6cbc867d96-pzhff,10.244.1.109,kube-prometheus-stack-kube-state-metrics,a5dc1882-771f-4696-9f70-9cef7472eef4,1,
kube_pod_info,kube-state-metrics,ReplicaSet,kubelet-serving-cert-approver-7ddfd4469b,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,kubelet-serving-cert-approver,controlplane-nbg1-1,kubelet-serving-cert-approver-7ddfd4469b-9zq6m,10.244.1.82,kube-prometheus-stack-kube-state-metrics,57c42790-9587-4e25-b37d-73aa5d71ea51,1,system-cluster-critical
kube_pod_info,kube-state-metrics,ReplicaSet,kustomize-controller-76dd89c9d4,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,kustomize-controller-76dd89c9d4-slpht,10.244.1.80,kube-prometheus-stack-kube-state-metrics,f02b1657-a4fe-4fe5-92d7-484fffb0cb50,1,
kube_pod_info,kube-state-metrics,ReplicaSet,logging-operator-6bcd5875cd,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,logging,controlplane-nbg1-1,logging-operator-6bcd5875cd-mwhbq,10.244.1.66,kube-prometheus-stack-kube-state-metrics,d2a30460-7152-4c07-8ae9-eb86767ca39d,1,
kube_pod_info,kube-state-metrics,ReplicaSet,metrics-server-5d875656f5,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,kube-system,controlplane-nbg1-1,metrics-server-5d875656f5-pp4gs,10.244.1.112,kube-prometheus-stack-kube-state-metrics,1ea7cb6d-fb44-44e5-9743-74ea1033efc2,1,system-cluster-critical
kube_pod_info,kube-state-metrics,ReplicaSet,netido-annotation-service-app-74889bd865,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-annotation-service-app-74889bd865-4cdfm,10.244.2.86,kube-prometheus-stack-kube-state-metrics,585fa039-efe9-4c6e-9410-1a02f724ae3b,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-annotation-service-app-74889bd865,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-annotation-service-app-74889bd865-mwxhm,10.244.0.125,kube-prometheus-stack-kube-state-metrics,f08a2eea-10b4-42b4-9f0b-f7b4f6ae329a,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-audit-trails-registry-service-app-857cfb4c48,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-audit-trails-registry-service-app-857cfb4c48-mvsl6,10.244.2.88,kube-prometheus-stack-kube-state-metrics,ef954adf-efa6-4409-bad8-49b2a1bfedd9,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-audit-trails-registry-service-app-857cfb4c48,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-audit-trails-registry-service-app-857cfb4c48-4p747,10.244.0.124,kube-prometheus-stack-kube-state-metrics,e37daa66-ce64-42db-9c5b-874af4db05c8,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-counter-service-app-6d64dc5959,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-counter-service-app-6d64dc5959-dll2h,10.244.2.85,kube-prometheus-stack-kube-state-metrics,0d9463b3-8b9d-42ac-a2bb-04743d0837f3,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-counter-service-app-6d64dc5959,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-counter-service-app-6d64dc5959-dnw4j,10.244.0.122,kube-prometheus-stack-kube-state-metrics,db412956-d904-45ba-ba69-bbca8fdbf52b,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-dms-service-app-5bb87bf99d,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-dms-service-app-5bb87bf99d-7hxqs,10.244.2.84,kube-prometheus-stack-kube-state-metrics,460e7834-9f56-4906-84e8-ba1f82048a31,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-dms-service-app-5bb87bf99d,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-dms-service-app-5bb87bf99d-dgs8f,10.244.0.120,kube-prometheus-stack-kube-state-metrics,c4bbc04f-2e87-44f9-b8e3-974ec2808a7b,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-emailing-service-app-68f78d57bd,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-emailing-service-app-68f78d57bd-zgntn,10.244.2.83,kube-prometheus-stack-kube-state-metrics,15a71cfc-c7b0-406a-9ed3-3a230bf17460,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-emailing-service-app-68f78d57bd,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-emailing-service-app-68f78d57bd-9hs2n,10.244.0.121,kube-prometheus-stack-kube-state-metrics,026e1d5b-7cfd-4a3b-a363-9bbb6d5b5659,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-gql-gateway-app-875576655,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-gql-gateway-app-875576655-lhbx6,10.244.2.93,kube-prometheus-stack-kube-state-metrics,32708cc3-67a7-423a-9624-3d06fd49df9e,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-gql-gateway-app-875576655,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-gql-gateway-app-875576655-t7nvg,10.244.0.130,kube-prometheus-stack-kube-state-metrics,b9ec7291-054f-4141-9128-ff82f818570a,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-gql-registry-app-6c9d666cd7,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-gql-registry-app-6c9d666cd7-bjhpb,10.244.2.77,kube-prometheus-stack-kube-state-metrics,a8f1a004-40a9-42f5-9206-9169f0b5a1cd,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-internationalization-service-app-6644cc7bf7,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-internationalization-service-app-6644cc7bf7-qdhdk,10.244.2.81,kube-prometheus-stack-kube-state-metrics,fc3a1604-2c80-4823-89c1-961d7b7e3659,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-internationalization-service-app-6644cc7bf7,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-internationalization-service-app-6644cc7bf7-hmggf,10.244.0.115,kube-prometheus-stack-kube-state-metrics,a7286306-6f55-4050-aa88-885e39eb028b,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-notification-service-app-57ff8f7d59,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-notification-service-app-57ff8f7d59-vm8n6,10.244.2.82,kube-prometheus-stack-kube-state-metrics,237ac18a-e9fc-492e-97ea-2aef104005fe,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-notification-service-app-57ff8f7d59,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-notification-service-app-57ff8f7d59-8bbwt,10.244.0.116,kube-prometheus-stack-kube-state-metrics,8d1c2704-0497-4dbf-ac11-1af564105c68,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-privacy-service-app-849b667455,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-privacy-service-app-849b667455-nzwfh,10.244.2.79,kube-prometheus-stack-kube-state-metrics,da58ebe1-3748-4480-8d16-5e0754217aa3,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-privacy-service-app-849b667455,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-privacy-service-app-849b667455-bwgns,10.244.0.118,kube-prometheus-stack-kube-state-metrics,3d6b0c46-17fe-4815-a392-f3c270d465ff,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-saga-service-app-6b4bcc8b78,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-saga-service-app-6b4bcc8b78-4cprp,10.244.2.80,kube-prometheus-stack-kube-state-metrics,d4514050-5e59-496c-8a8d-a67dabe647fe,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-saga-service-app-6b4bcc8b78,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-saga-service-app-6b4bcc8b78-5s7xl,10.244.0.119,kube-prometheus-stack-kube-state-metrics,a08cb29d-9f37-4457-bb11-c34258c36653,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-scheduler-service-app-dc54bdcb9,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-1,netido-scheduler-service-app-dc54bdcb9-c2gm6,10.244.2.149,kube-prometheus-stack-kube-state-metrics,d01fa78b-bacd-49fc-b7a2-1f6106e3d72f,1,
kube_pod_info,kube-state-metrics,ReplicaSet,netido-utility-service-app-54674b5c84,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,apps,worker-nbg1-2,netido-utility-service-app-54674b5c84-n45xz,10.244.0.117,kube-prometheus-stack-kube-state-metrics,3cf66a32-6dee-4052-8d0d-c997a073b8bf,1,
kube_pod_info,kube-state-metrics,ReplicaSet,notification-controller-86d886486b,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,notification-controller-86d886486b-68zhs,10.244.1.61,kube-prometheus-stack-kube-state-metrics,9e171e01-432a-4fc4-bb6b-1efa233c6434,1,
kube_pod_info,kube-state-metrics,ReplicaSet,redis-master-7847cf875,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,redis,controlplane-nbg1-1,redis-master-7847cf875-xgrdm,10.244.1.79,kube-prometheus-stack-kube-state-metrics,ea7ebb41-eace-4961-a72d-8059ded03eb3,1,
kube_pod_info,kube-state-metrics,ReplicaSet,sealed-secrets-668676cb45,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,sealed-secrets,controlplane-nbg1-1,sealed-secrets-668676cb45-bvsdv,10.244.1.102,kube-prometheus-stack-kube-state-metrics,8cbb9fb6-d8d9-4716-85b6-a02bb0e2b9d7,1,
kube_pod_info,kube-state-metrics,ReplicaSet,source-controller-7cfdc467d6,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,flux-system,controlplane-nbg1-1,source-controller-7cfdc467d6-2vjmx,10.244.1.84,kube-prometheus-stack-kube-state-metrics,819d4f61-893d-4347-bd60-f42663433b7f,1,
kube_pod_info,kube-state-metrics,ReplicaSet,talos-cloud-controller-manager-848cf74f9b,http,10.0.1.50,false,10.244.1.67:8080,kube-state-metrics,kube-system,controlplane-nbg1-1,talos-cloud-controller-manager-848cf74f9b-r7n9f,10.244.1.83,kube-prometheus-stack-kube-state-metrics,a99d290a-73b7-4a19-9707-46ea5822f01a,1,
kube_pod_info,kube-state-metrics,StatefulSet,alertmanager-kube-prometheus-stack-alertmanager,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,alertmanager-kube-prometheus-stack-alertmanager-0,10.244.2.69,kube-prometheus-stack-kube-state-metrics,a6a84786-e6c1-4664-bc88-d47352abaf94,1,
kube_pod_info,kube-state-metrics,StatefulSet,apps-logging-fluentd,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,logging,worker-nbg1-2,apps-logging-fluentd-0,10.244.0.106,kube-prometheus-stack-kube-state-metrics,9dd17ead-ce23-4b4f-9cd9-98f77a88a26a,1,
kube_pod_info,kube-state-metrics,StatefulSet,elastic-operator,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-1,elastic-operator-0,10.244.2.70,kube-prometheus-stack-kube-state-metrics,7d051f1a-7408-42b9-bd29-4ca91a1d1d5e,1,
kube_pod_info,kube-state-metrics,StatefulSet,elasticsearch-es-master,http,10.0.1.101,false,10.244.1.67:8080,kube-state-metrics,elastic,worker-nbg1-2,elasticsearch-es-master-0,10.244.0.107,kube-prometheus-stack-kube-state-metrics,dec1c9da-b661-4ced-85ca-f8582b14edd4,1,
kube_pod_info,kube-state-metrics,StatefulSet,prometheus-kube-prometheus-stack-prometheus,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,monitoring,worker-nbg1-1,prometheus-kube-prometheus-stack-prometheus-0,10.244.2.68,kube-prometheus-stack-kube-state-metrics,4ecea42c-e6fc-4196-9f5e-08c3998678fc,1,
kube_pod_info,kube-state-metrics,StatefulSet,rabbitmq,http,10.0.1.100,false,10.244.1.67:8080,kube-state-metrics,rabbitmq,worker-nbg1-1,rabbitmq-0,10.244.2.71,kube-prometheus-stack-kube-state-metrics,52c9960e-427d-4e5b-9a95-cb6918e3fe11,1,
